Course Code,Course Title,Delivery Type,Total Credits,Theory Credits,Practical Credits,Weekly Theory Hours,Weekly Practical Hours,Total Theory Contact Hours,Total Practical Contact Hours,Total Contact Hours,CBCS Catalog Type,Department Code,Description
COM-100,Accounting for Business,THEORY,4,4,0,4,0,60,0,60,CORE,COM,Commerce FYUGP ODD semester catalog
COM-200,Business Environment,THEORY,4,4,0,4,0,60,0,60,CORE,COM,Commerce FYUGP ODD semester catalog
COM-201,Corporate Accounting,THEORY,4,4,0,4,0,60,0,60,CORE,COM,Commerce FYUGP ODD semester catalog
COM-300,Business Statistics,THEORY,4,4,0,4,0,45,0,45,CORE,COM,Commerce FYUGP ODD semester catalog
COM-301,Auditing,THEORY,4,4,0,4,0,45,0,45,CORE,COM,Commerce FYUGP ODD semester catalog
COM-302,Human Resource Management,THEORY,4,4,0,4,0,45,0,45,CORE,COM,Commerce FYUGP ODD semester catalog
COM-303,"Internship / Apprenticeship / Community Engagement and Service / Field Based Learning or Minor Project",INTERNSHIP,4,0,4,0,0,0,120,120,SKILL,COM,Commerce FYUGP ODD semester catalog
