Course Code,Course Title,Delivery Type,Total Credits,Theory Credits,Practical Credits,Weekly Theory Hours,Weekly Practical Hours,Total Theory Contact Hours,Total Practical Contact Hours,Total Contact Hours,CBCS Catalog Type,Department Code,Description
BOT-100,"Plant Diversity I: Algae, Bryophytes and Pteridophytes",THEORY_PRACTICAL,4,3,1,3,1,45,30,75,CORE,BOT,Science FYUGP ODD semester catalog
BOT-200,Economic Botany and Ethnobotany and Phytogeography,THEORY_PRACTICAL,4,3,1,3,1,45,30,75,CORE,BOT,Science FYUGP ODD semester catalog
BOT-201,Angiosperm Taxonomy,THEORY_PRACTICAL,4,3,1,3,1,45,30,75,CORE,BOT,Science FYUGP ODD semester catalog
BOT-300,Plant Physiology,THEORY_PRACTICAL,4,3,1,3,1,45,30,75,CORE,BOT,Science FYUGP ODD semester catalog
BOT-301,Plant Biochemistry,THEORY_PRACTICAL,4,3,1,3,1,45,30,75,CORE,BOT,Science FYUGP ODD semester catalog
BOT-302,Plant Ecology,THEORY_PRACTICAL,4,3,1,3,1,45,30,75,CORE,BOT,Science FYUGP ODD semester catalog
BOT-303,Internship,INTERNSHIP,4,0,4,0,0,0,120,120,SKILL,BOT,Science FYUGP ODD semester catalog
