Course Code,Course Title,Delivery Type,Total Credits,Theory Credits,Practical Credits,Weekly Theory Hours,Weekly Practical Hours,Total Theory Contact Hours,Total Practical Contact Hours,Total Contact Hours,CBCS Catalog Type,Department Code,Description
ZOO-100,Taxonomy and Animal Diversity,THEORY_PRACTICAL,4,3,1,3,1,45,15,60,CORE,ZOO,Science FYUGP ODD semester catalog
ZOO-200,Introductory Cell Biology and Genetics,THEORY_PRACTICAL,4,3,1,3,1,45,30,75,CORE,ZOO,Science FYUGP ODD semester catalog
ZOO-201,Introductory Biochemistry and Immunology,THEORY_PRACTICAL,4,3,1,3,1,45,30,75,CORE,ZOO,Science FYUGP ODD semester catalog
ZOO-300,Animal Physiology,THEORY_PRACTICAL,4,3,1,3,1,45,30,75,CORE,ZOO,Science FYUGP ODD semester catalog
ZOO-301,Biochemistry and Immunology,THEORY_PRACTICAL,4,3,1,3,1,45,30,75,CORE,ZOO,Science FYUGP ODD semester catalog
ZOO-302,Introductory Developmental Biology and Endocrinology,THEORY_PRACTICAL,4,3,1,3,1,45,30,75,CORE,ZOO,Science FYUGP ODD semester catalog
ZOO-303,Internship,INTERNSHIP,4,0,4,0,0,0,120,120,SKILL,ZOO,Science FYUGP ODD semester catalog
