Course Code,Course Title,Delivery Type,Total Credits,Theory Credits,Practical Credits,Weekly Theory Hours,Weekly Practical Hours,Total Theory Contact Hours,Total Practical Contact Hours,Total Contact Hours,CBCS Catalog Type,Department Code,Description
CHE-100,Introductory Chemistry-I,THEORY_PRACTICAL,4,3,1,3,1,45,30,75,CORE,CHE,Science FYUGP ODD semester catalog
CHE-200,Chemistry-III,THEORY,4,4,0,4,0,60,0,60,CORE,CHE,Science FYUGP ODD semester catalog
CHE-201,Organic Chemistry Laboratory,PRACTICAL,4,0,4,0,8,0,120,120,CORE,CHE,Science FYUGP ODD semester catalog
CHE-300,Chemistry-IV,THEORY,4,4,0,4,0,60,0,60,CORE,CHE,Science FYUGP ODD semester catalog
CHE-301,Organic Chemistry-II,THEORY,4,4,0,4,0,60,0,60,CORE,CHE,Science FYUGP ODD semester catalog
CHE-302,Chemistry-V,THEORY,4,4,0,4,0,60,0,60,CORE,CHE,Science FYUGP ODD semester catalog
CHE-303,"Internship / Apprenticeship / Community Engagement and Service / Field Based Learning or Minor Project",INTERNSHIP,4,0,4,0,0,0,120,120,SKILL,CHE,Science FYUGP ODD semester catalog
