Course Code,Course Title,Delivery Type,Total Credits,Theory Credits,Practical Credits,Weekly Theory Hours,Weekly Practical Hours,Total Theory Contact Hours,Total Practical Contact Hours,Total Contact Hours,CBCS Catalog Type,Department Code,Description
MTH-100,Fundamental Mathematics-I,THEORY,4,4,0,4,0,60,0,60,CORE,MTH,Science FYUGP ODD semester catalog
MTH-200,Calculus-I and Statics,THEORY,4,4,0,4,0,60,0,60,CORE,MTH,Science FYUGP ODD semester catalog
MTH-201,Group Theory,THEORY,4,4,0,4,0,60,0,60,CORE,MTH,Science FYUGP ODD semester catalog
MTH-300,Calculus-III,THEORY,4,4,0,4,0,60,0,60,CORE,MTH,Science FYUGP ODD semester catalog
MTH-301,Number Theory and Ring Theory,THEORY,4,4,0,4,0,60,0,60,CORE,MTH,Science FYUGP ODD semester catalog
MTH-302,Numerical Methods and Optimization Techniques,THEORY,4,4,0,4,0,60,0,60,CORE,MTH,Science FYUGP ODD semester catalog
MTH-303,Internship,INTERNSHIP,4,0,4,0,0,0,120,120,SKILL,MTH,Science FYUGP ODD semester catalog
